"Reaction"	"Enzymes of a reaction"
RXN-8182	GCQD-1680-MONOMER // GCQD-2734-MONOMER
RXN0-7272	GCQD-954-MONOMER
RXN0-2161	GCQD-1096-MONOMER
RXN-11838	GCQD-1283-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
GLUTDEHYD-RXN	GCQD-1930-MONOMER // CPLXCQD-9617
ASPARTATE--TRNA-LIGASE-RXN	GCQD-2037-MONOMER
3-ISOPROPYLMALDEHYDROG-RXN	GCQD-253-MONOMER // GCQD-1970-MONOMER
RXN-8654	GCQD-4527-MONOMER
TRYPTOPHAN--TRNA-LIGASE-RXN	GCQD-3470-MONOMER
RXN0-7344	GCQD-2171-MONOMER
RXN-12072	CPLXCQD-10640
GLUTAMINE--TRNA-LIGASE-RXN	GCQD-828-MONOMER
GLYCOLATEDEHYDRO-RXN	CPLXCQD-9768
3.1.21.7-RXN	GCQD-4132-MONOMER
ISOLEUCINE--TRNA-LIGASE-RXN	GCQD-208-MONOMER
RXN-9623	GCQD-1975-MONOMER // GCQD-1870-MONOMER // GCQD-3076-MONOMER
RXN0-986	GCQD-2347-MONOMER
METHIONINE--TRNA-LIGASE-RXN	GCQD-2251-MONOMER
RXN-12444	GCQD-1140-MONOMER // GCQD-3979-MONOMER
GSAAMINOTRANS-RXN	GCQD-331-MONOMER
ASPARAGINE--TRNA-LIGASE-RXN	GCQD-1133-MONOMER
RXN0-1401	GCQD-4227-MONOMER
THREONINE--TRNA-LIGASE-RXN	GCQD-1888-MONOMER
SHIKIMATE-KINASE-RXN	GCQD-521-MONOMER // GCQD-3476-MONOMER
RXN-12862	""
GLURS-RXN	GCQD-2516-MONOMER
H2PTERIDINEPYROPHOSPHOKIN-RXN	GCQD-319-MONOMER
VALINE--TRNA-LIGASE-RXN	GCQD-4387-MONOMER
RXN0-2022	GCQD-1074-MONOMER
SUGAR-PHOSPHATASE-RXN	GCQD-2426-MONOMER // GCQD-987-MONOMER // GCQD-3814-MONOMER // GCQD-3949-MONOMER // GCQD-516-MONOMER
HISTIDINE--TRNA-LIGASE-RXN	GCQD-2620-MONOMER
RXN-13248	""
HOMOSERKIN-RXN	GCQD-182-MONOMER
LYSINE--TRNA-LIGASE-RXN	GCQD-2946-MONOMER // GCQD-4261-MONOMER
3.5.1.88-RXN	GCQD-3372-MONOMER
PROLINE--TRNA-LIGASE-RXN	GCQD-371-MONOMER
THIOSULFATE-SULFURTRANSFERASE-RXN	GCQD-2627-MONOMER // GCQD-1485-MONOMER // GCQD-3510-MONOMER // GCQD-2741-MONOMER
RXN-14014	GCQD-213-MONOMER
ARGININE--TRNA-LIGASE-RXN	GCQD-2047-MONOMER
ISOCHORMAT-RXN	""
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	GCQD-4173-MONOMER
SERINE--TRNA-LIGASE-RXN	GCQD-1096-MONOMER
RXN0-2945	GCQD-300-MONOMER
CYSTEINE--TRNA-LIGASE-RXN	GCQD-662-MONOMER
RXN-14139	GCQD-3335-MONOMER // GCQD-2847-MONOMER
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	GCQD-3847-MONOMER
TYROSINE--TRNA-LIGASE-RXN	GCQD-1805-MONOMER
7-ALPHA-HYDROXYSTEROID-DEH-RXN	GCQD-1786-MONOMER
RXN0-3281	GCQD-4212-MONOMER
GLYCINE--TRNA-LIGASE-RXN	CPLXCQD-7602
RXN-14290	""
ACETYLORNDEACET-RXN	GCQD-4091-MONOMER
LEUCINE--TRNA-LIGASE-RXN	GCQD-796-MONOMER
RXN0-3921	GCQD-1478-MONOMER
UDPNACETYLMURAMATEDEHYDROG-RXN	GCQD-4106-MONOMER
PHENYLALANINE--TRNA-LIGASE-RXN	CPLXCQD-8642
RXN-14481	GCQD-813-MONOMER
MANNPDEHYDROG-RXN	GCQD-3690-MONOMER
RXN0-7008	GCQD-1217-MONOMER
ADENOSINETRIPHOSPHATASE-RXN	""
RXN0-4401	GCQD-4130-MONOMER
RXN-11484	GCQD-941-MONOMER
RXN-14534	GCQD-4188-MONOMER
N-ACETYLTRANSFER-RXN	GCQD-2889-MONOMER
ALANINE-AMINOTRANSFERASE-RXN	GCQD-2497-MONOMER // GCQD-2423-MONOMER
RXN-14813	GCQD-1132-MONOMER // GCQD-423-MONOMER
NICOTINATEPRIBOSYLTRANS-RXN	GCQD-1134-MONOMER
AMINEPHEN-RXN	GCQD-1558-MONOMER
RXN0-5125	""
RXN-15125	GCQD-2863-MONOMER // GCQD-3205-MONOMER // GCQD-1984-MONOMER // GCQD-3210-MONOMER
ORNCARBAMTRANSFER-RXN	GCQD-4383-MONOMER
ARYLSULFAT-RXN	GCQD-3920-MONOMER
RXN-15313	GCQD-3313-MONOMER
PDXJ-RXN	GCQD-2671-MONOMER
BETA-LACTAMASE-RXN	GCQD-786-MONOMER // GCQD-4284-MONOMER // GCQD-2121-MONOMER
RXN0-5229	GCQD-4497-MONOMER
PHENYLPYRUVATE-TAUTOMERASE-RXN	""
CDPDIGLYSYN-RXN	GCQD-351-MONOMER
RXN0-5364	GCQD-2733-MONOMER
CHD-RXN	GCQD-453-MONOMER
RXN0-5387	GCQD-4348-MONOMER
RXN-17330	GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
RXN0-5405	""
PORPHOBILSYNTH-RXN	GCQD-505-MONOMER
CYSTATHIONINE-BETA-LYASE-RXN	GCQD-1789-MONOMER // GCQD-3106-MONOMER
RXN0-6254	GCQD-2934-MONOMER
DARABISOM-RXN	GCQD-2873-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-17795	GCQD-3980-MONOMER // GCQD-2474-MONOMER
RXN0-6452	GCQD-1212-MONOMER
PYRAMKIN-RXN	GCQD-2532-MONOMER
DGDPKIN-RXN	GCQD-2624-MONOMER
RXN-17956	GCQD-4231-MONOMER
R15-RXN	GCQD-753-MONOMER
DIHYDROPYRIMIDINASE-RXN	""
RXN-18739	GCQD-2347-MONOMER
RXN0-6576	GCQD-1587-MONOMER
RIBOFLAVINKIN-RXN	GCQD-207-MONOMER
DTDPGLUCOSEPP-RXN	GCQD-2153-MONOMER // GCQD-3907-MONOMER
RXN-19777	CPLXCQD-11406
RXN0-6941	GCQD-3165-MONOMER
RXN-10018	""
EXOPOLYPHOSPHATASE-RXN	GCQD-2608-MONOMER
RXN-20897	GCQD-859-MONOMER
RXN0-7013	GCQD-1243-MONOMER
RXN-11209	""
FUCULOKIN-RXN	GCQD-2874-MONOMER
1.5.1.20-RXN	GCQD-4076-MONOMER
RXN-3523	""
RXN0-7079	GCQD-1284-MONOMER
GDPKIN-RXN	GCQD-2624-MONOMER
2.1.1.79-RXN	GCQD-1830-MONOMER
RXN-7605	""
RXN0-7168	GCQD-3699-MONOMER
RXN-11662	GCQD-2473-MONOMER // GCQD-3981-MONOMER
GLUCOSE-6-PHOSPHATASE-RXN	GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
2.7.7.13-RXN	GCQD-2163-MONOMER
RXN-8342	CPLXCQD-8322
RXN-11841	GCQD-2817-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	GCQD-3978-MONOMER
RXN-8748	GCQD-4188-MONOMER // GCQD-516-MONOMER
RXN0-7347	GCQD-3502-MONOMER
GLYOCARBOLIG-RXN	GCQD-643-MONOMER
RXN-9772	GCQD-2681-MONOMER
RXN66-526	GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
GSPSYN-RXN	GCQD-3089-MONOMER
RXN0-1461	GCQD-2550-MONOMER
SORBITOL-6-PHOSPHATASE-RXN	GCQD-1896-MONOMER // GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
RXN-12869	""
HEMEOSYN-RXN	GCQD-565-MONOMER
SULFOCYS-RXN	GCQD-2535-MONOMER
RXN-13459	""
HYDROXYLAMINE-REDUCTASE-RXN	GCQD-1076-MONOMER
3.6.1.41-RXN	GCQD-231-MONOMER
RXN0-2621	CPLXCQD-7824
RXN-14026	GCQD-516-MONOMER // GCQD-823-MONOMER // GCQD-4514-MONOMER // GCQD-2816-MONOMER // GCQD-617-MONOMER // GCQD-4188-MONOMER
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	CPLXCQD-11429
RXN0-301	GCQD-1256-MONOMER
TRE6PHYDRO-RXN	GCQD-4370-MONOMER
RXN-14160	GCQD-3532-MONOMER
LACTALDDEHYDROG-RXN	GCQD-1570-MONOMER
ACETALD-DEHYDROG-RXN	GCQD-491-MONOMER // GCQD-1416-MONOMER // GCQD-2560-MONOMER
RXN0-3441	""
RXN-14363	GCQD-4089-MONOMER
LYXK-RXN	GCQD-3667-MONOMER
ACNEULY-RXN	GCQD-3313-MONOMER
RXN0-3962	GCQD-3678-MONOMER
UNDECAPRENYL-DIPHOSPHATASE-RXN	GCQD-1455-MONOMER // GCQD-1006-MONOMER // GCQD-3152-MONOMER
RXN-14503	GCQD-1132-MONOMER // GCQD-423-MONOMER
METBALT-RXN	GCQD-4074-MONOMER
ADENPRIBOSYLTRAN-RXN	GCQD-606-MONOMER
RXN0-4621	GCQD-1808-MONOMER
XANTHOSINEPHOSPHORY-RXN	GCQD-524-MONOMER
RXN-14569	GCQD-3368-MONOMER
NAD-SYNTH-GLN-RXN	GCQD-1909-MONOMER
ALCOHOL-DEHYDROG-RXN	GCQD-1416-MONOMER // GCQD-1636-MONOMER
RXN0-5074	GCQD-4535-MONOMER
RXN-14882	GCQD-1132-MONOMER // GCQD-423-MONOMER
NMNNUCLEOSID-RXN	""
AMINOPROPDEHYDROG-RXN	GCQD-4080-MONOMER
RXN0-5131	GCQD-398-MONOMER // GCQD-711-MONOMER // GCQD-3759-MONOMER // GCQD-4469-MONOMER
RXN-15131	GCQD-1789-MONOMER // GCQD-3106-MONOMER
OROTPDECARB-RXN	GCQD-1458-MONOMER
ASPARAGHYD-RXN	GCQD-1936-MONOMER // GCQD-3011-MONOMER
RXN0-5208	GCQD-746-MONOMER // GCQD-4261-MONOMER
RXN-15348	""
PEPCARBOXYKIN-RXN	GCQD-3489-MONOMER
BETAGALACTOSID-RXN	GCQD-484-MONOMER
RXN0-5285	GCQD-2853-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-16286	GCQD-3631-MONOMER
PHOSGLYPHOS-RXN	GCQD-2981-MONOMER
CHORISMATEMUT-RXN	GCQD-2705-MONOMER // GCQD-2706-MONOMER
RXN0-5393	GCQD-2473-MONOMER // GCQD-3981-MONOMER
RXN-17393	GCQD-1294-MONOMER
RXN0-5409	GCQD-2390-MONOMER
PPPGPPHYDRO-RXN	GCQD-3897-MONOMER
CYTDEAM-RXN	GCQD-477-MONOMER
RXN-17782	GCQD-3980-MONOMER // GCQD-2474-MONOMER
RXN0-6259	GCQD-3985-MONOMER
DCTP-DEAM-RXN	GCQD-2179-MONOMER
RXN-17798	GCQD-2473-MONOMER // GCQD-3981-MONOMER
RXN0-6478	GCQD-1281-MONOMER
PYRIMSYN1-RXN	GCQD-4128-MONOMER
DHBDEHYD-RXN	GCQD-748-MONOMER
RXN-17962	GCQD-4226-MONOMER
R223-RXN	GCQD-1975-MONOMER // GCQD-3076-MONOMER // GCQD-1870-MONOMER
DIHYDROXYMETVALDEHYDRAT-RXN	GCQD-3889-MONOMER
RXN-19024	GCQD-1396-MONOMER
RXN0-6677	GCQD-1606-MONOMER
RIBOKIN-RXN	GCQD-3872-MONOMER
DUDPKIN-RXN	GCQD-2624-MONOMER
RXN0-6950	GCQD-1151-MONOMER
RXN-10720	""
FADSYN-RXN	GCQD-207-MONOMER
1.1.1.262-RXN	""
RXN-20915	GCQD-777-MONOMER
RXN0-7021	GCQD-3638-MONOMER
RXN-11277	GCQD-1455-MONOMER
GALACTARDEHYDRA-RXN	GCQD-3219-MONOMER
1TRANSKETO-RXN	GCQD-2570-MONOMER // GCQD-2989-MONOMER
RXN-5647	GCQD-516-MONOMER
RXN0-7083	CPLXCQD-10460
GDPPYPHOSKIN-RXN	GCQD-2850-MONOMER // GCQD-3741-MONOMER
2.4.1.129-RXN	""
RXN-7632	GCQD-966-MONOMER
RXN-11776	GCQD-3152-MONOMER
2.7.8.25-RXN	GCQD-766-MONOMER
RXN-8447	""
RXN0-7298	GCQD-2239-MONOMER
GLYC3PDEHYDROGBIOSYN-RXN	GCQD-3701-MONOMER
3.1.11.1-RXN	GCQD-2122-MONOMER // GCQD-3976-MONOMER // GCQD-3248-MONOMER // GCQD-3003-MONOMER
RXN-8899	""
RXN0-742	GCQD-658-MONOMER
RXN-12149	GCQD-1132-MONOMER // GCQD-423-MONOMER
GLYOXII-RXN	GCQD-2290-MONOMER // GCQD-389-MONOMER // GCQD-1130-MONOMER
3.1.26.5-RXN	GCQD-3821-MONOMER
RXN-9952	GCQD-2139-MONOMER
RXNI-3	""
RXN-12540	""
GTP-CYCLOHYDRO-II-RXN	GCQD-1454-MONOMER
RXN0-1603	GCQD-3008-MONOMER // GCQD-2847-MONOMER
SPONTPRO-RXN	""
RXN-12872	""
HISTAMINOTRANS-RXN	GCQD-2131-MONOMER
RXN0-2201	GCQD-1696-MONOMER
TAGAKIN-RXN	GCQD-1892-MONOMER
RXN-13463	""
IMIDPHOSDEHYD-RXN	GCQD-2132-MONOMER
3PGAREARR-RXN	GCQD-3705-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN0-2661	GCQD-3015-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
THRESYN-RXN	GCQD-183-MONOMER
RXN-14074	""
KDO-8PPHOSPHAT-RXN	GCQD-3291-MONOMER
5.3.3.10-RXN	GCQD-4489-MONOMER
RXN0-304	GCQD-4218-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
TREHALOSEPHOSPHA-RXN	GCQD-2066-MONOMER
RXN-14188	GCQD-1928-MONOMER
LCYSDESULF-RXN	GCQD-2535-MONOMER // GCQD-2528-MONOMER // GCQD-1789-MONOMER // GCQD-3826-MONOMER // GCQD-3106-MONOMER // GCQD-3203-MONOMER
ACETOACETYL-COA-TRANSFER-RXN	CPLXCQD-10375
RXN0-3542	GCQD-1332-MONOMER
UDP-NACMURALA-GLU-LIG-RXN	GCQD-267-MONOMER
RXN-14393	GCQD-2473-MONOMER // GCQD-3981-MONOMER
MALIC-NADP-RXN	GCQD-2568-MONOMER
ACSERLY-RXN	GCQD-2528-MONOMER // GCQD-2535-MONOMER
RXN0-4121	GCQD-1300-MONOMER
UREIDOGLYCOLATE-LYASE-RXN	GCQD-641-MONOMER
RXN-14510	GCQD-516-MONOMER
ADENYLOSUCCINATE-SYNTHASE-RXN	GCQD-4309-MONOMER
RXN0-4961	GCQD-392-MONOMER // GCQD-240-MONOMER // GCQD-3998-MONOMER
YIAE1-RXN	GCQD-3638-MONOMER
RXN-14712	""
NADNUCLEOSID-RXN	""
ALDOSE-1-EPIMERASE-RXN	GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN0-5107	GCQD-3335-MONOMER // GCQD-2385-MONOMER // GCQD-2847-MONOMER
RXN-14960	""
NUCLEOSIDE-DIPHOSPHATASE-RXN	GCQD-3707-MONOMER
AMPSYN-RXN	GCQD-1329-MONOMER
RXN0-5146	GCQD-3517-MONOMER
RXN-15147	GCQD-4074-MONOMER
OXALYL-COA-DECARBOXYLASE-RXN	GCQD-2491-MONOMER
RXN0-5214	GCQD-4324-MONOMER
RXN-15743	GCQD-630-MONOMER // GCQD-3109-MONOMER // GCQD-4398-MONOMER // GCQD-466-MONOMER
PEPTIDYLPROLYL-ISOMERASE-RXN	GCQD-573-MONOMER // GCQD-210-MONOMER // GCQD-235-MONOMER // GCQD-661-MONOMER // GCQD-3433-MONOMER // GCQD-3435-MONOMER // GCQD-3449-MONOMER // GCQD-3893-MONOMER // GCQD-4344-MONOMER
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	GCQD-4187-MONOMER // GCQD-3888-MONOMER
RXN0-5294	GCQD-3714-MONOMER
RXN-16456	GCQD-3992-MONOMER
PHOSPHAGLYPSYN-RXN	GCQD-2080-MONOMER
PHOSPHOAMIDASE-RXN	GCQD-516-MONOMER
CITSYN-RXN	GCQD-473-MONOMER // GCQD-871-MONOMER
RXN-17701	GCQD-4012-MONOMER
RXN0-5414	GCQD-1225-MONOMER
PREPHENATEDEHYDROG-RXN	GCQD-2706-MONOMER
CYTIDINEKIN-RXN	GCQD-2180-MONOMER
RXN-17785	GCQD-2473-MONOMER // GCQD-3981-MONOMER
PROTOHEMEFERROCHELAT-RXN	GCQD-612-MONOMER // GCQD-1221-MONOMER // GCQD-2545-MONOMER
DEHYDDEOXPHOSGALACT-ALDOL-RXN	GCQD-3810-MONOMER // GCQD-3966-MONOMER
RXN0-6481	GCQD-3734-MONOMER
PYRROLINECARBDEHYDROG-RXN	GCQD-1217-MONOMER
DIAMACTRANS-RXN	GCQD-1751-MONOMER
RXN-18376	CPLXCQD-11425
RXN0-6549	GCQD-1003-MONOMER
R4-RXN	CPLXCQD-8159
DLACTDEHYDROGNAD-RXN	GCQD-1552-MONOMER
RXN0-6720	GCQD-1673-MONOMER
RIBOSYLNICOTINAMIDE-KINASE-RXN	GCQD-4531-MONOMER
DXPREDISOM-RXN	GCQD-349-MONOMER
RXN-20025	GCQD-736-MONOMER
RXN-10851	""
FMNREDUCT-RXN	GCQD-3979-MONOMER
1.1.1.274-RXN	""
RXN-20919	GCQD-777-MONOMER
RXN0-7024	GCQD-653-MONOMER
RXN-11319	GCQD-4123-MONOMER
GALACTOKIN-RXN	GCQD-908-MONOMER
2-METHYLCITRATE-DEHYDRATASE-RXN	GCQD-474-MONOMER
RXN-6081	""
RXN0-7101	GCQD-4395-MONOMER
GLU6PDEHYDROG-RXN	GCQD-2023-MONOMER
2.5.1.19-RXN	GCQD-1111-MONOMER
RXN-7904	GCQD-3076-MONOMER
RXN-11813	GCQD-2545-MONOMER
RXN-8506	GCQD-4483-MONOMER // GCQD-3979-MONOMER
RXN0-7316	GCQD-2732-MONOMER
GLYCEROL-2-PHOSPHATASE-RXN	GCQD-516-MONOMER // GCQD-2639-MONOMER
RXN-8992	GCQD-3280-MONOMER
RXN0-884	GCQD-211-MONOMER
RXN-12197	GCQD-3707-MONOMER
GLYRIBONUCSYN-RXN	GCQD-4139-MONOMER
3.1.3.68-RXN	GCQD-1896-MONOMER // GCQD-516-MONOMER
RXN0-1061	GCQD-2632-MONOMER
SAICARSYN-RXN	GCQD-2582-MONOMER
GUANOSINE-DIPHOSPHATASE-RXN	GCQD-1332-MONOMER // GCQD-3707-MONOMER
RXN0-1861	GCQD-2389-MONOMER
SUCCDIAMINOPIMDESUCC-RXN	GCQD-2577-MONOMER
RXN-12896	GCQD-1214-MONOMER
HISTIDPHOS-RXN	GCQD-516-MONOMER // GCQD-2132-MONOMER
RXN0-2361	GCQD-4364-MONOMER
TETHYDPICSUCC-RXN	GCQD-342-MONOMER
RXN-1381	GCQD-4174-MONOMER
IMPCYCLOHYDROLASE-RXN	GCQD-4140-MONOMER
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	GCQD-4016-MONOMER
RXN0-275	GCQD-2930-MONOMER
THYMIDYLATESYN-RXN	GCQD-2898-MONOMER
RXN-14112	GCQD-4350-MONOMER
KDOTRANS2-RXN	GCQD-3724-MONOMER
5.4.2.10-RXN	GCQD-3269-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN0-310	GCQD-2974-MONOMER
RXN-14261	GCQD-3502-MONOMER
LIPIDADISACCHARIDESYNTH-RXN	GCQD-358-MONOMER
ACETOLACTSYN-RXN	CPLXCQD-8571 // CPLXCQD-7410 // GCQD-3886-MONOMER // GCQD-3887-MONOMER
RXN0-363	GCQD-212-MONOMER
UDPACYLGLCNACDEACETYL-RXN	GCQD-275-MONOMER
RXN-14408	GCQD-1132-MONOMER // GCQD-423-MONOMER
MALTODEG-RXN	GCQD-3502-MONOMER
ACYLCOASYN-RXN	GCQD-1870-MONOMER // GCQD-3076-MONOMER // GCQD-1975-MONOMER
URKI-RXN	GCQD-2180-MONOMER
RXN-14513	GCQD-516-MONOMER
METHYLISOCITRATE-LYASE-RXN	GCQD-472-MONOMER
ADPSUGPPHOSPHAT-RXN	GCQD-3483-MONOMER // GCQD-3131-MONOMER
RXN0-5038	GCQD-3129-MONOMER
RXN-14806	GCQD-1132-MONOMER // GCQD-423-MONOMER
NAG1P-URIDYLTRANS-RXN	GCQD-3848-MONOMER
ALLANTOATE-DEIMINASE-RXN	GCQD-652-MONOMER
RXN0-5116	CPLXCQD-11366
RXN-14997	GCQD-1132-MONOMER // GCQD-423-MONOMER
O-SUCCINYLBENZOATE-COA-LIG-RXN	GCQD-2395-MONOMER
ARABISOM-RXN	CPLXCQD-11367 // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN0-5183	GCQD-537-MONOMER
RXN-15292	GCQD-2073-MONOMER
P-PANTOCYSLIG-RXN	GCQD-3730-MONOMER
ASPCARBTRANS-RXN	CPLXCQD-9103
RXN0-5222	""
PGLYCDEHYDROG-RXN	GCQD-2968-MONOMER
CARBAMATE-KINASE-RXN	GCQD-657-MONOMER // GCQD-3956-MONOMER
RXN0-5298	GCQD-2875-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-16650	GCQD-3482-MONOMER // GCQD-3301-MONOMER // GCQD-2625-MONOMER
PHOSPHOGLYCERATE-PHOSPHATASE-RXN	GCQD-516-MONOMER
COBALAMINSYN-RXN	""
RXN-17726	GCQD-484-MONOMER
RXN0-5433	GCQD-2379-MONOMER
D-PPENTOMUT-RXN	GCQD-4524-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN0-6371	GCQD-1002-MONOMER
PRPPSYN-RXN	GCQD-1382-MONOMER
DEOXYGUANPHOSPHOR-RXN	GCQD-4525-MONOMER
QOR-RXN	GCQD-4184-MONOMER
DIAMTRANSAM-RXN	GCQD-3168-MONOMER
RFFTRANS-RXN	GCQD-3909-MONOMER
DNA-DIRECTED-DNA-POLYMERASE-RXN	CPLXCQD-10421 // GCQD-240-MONOMER // GCQD-360-MONOMER // GCQD-411-MONOMER // GCQD-607-MONOMER // GCQD-3998-MONOMER
RXN-19311	GCQD-3944-MONOMER // GCQD-3948-MONOMER
RXN0-6726	GCQD-1055-MONOMER
RIBULPEPIM-RXN	CPLXCQD-11368 // GCQD-3670-MONOMER // GCQD-4330-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
ENOYL-COA-HYDRAT-RXN	GCQD-2473-MONOMER // GCQD-3981-MONOMER
RXN-20426	GCQD-1918-MONOMER
RXN0-7000	GCQD-2459-MONOMER
RXN-10940	GCQD-1183-MONOMER
FORMYLTHFDEFORMYL-RXN	GCQD-1409-MONOMER
1.1.1.8-RXN	GCQD-3701-MONOMER
RXN-2141	""
RXN0-7046	GCQD-749-MONOMER
RXN-11397	GCQD-278-MONOMER
GALACTUROISOM-RXN	GCQD-3187-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	GCQD-2366-MONOMER
RXN-6423	""
RXN0-7119	GCQD-630-MONOMER // GCQD-3110-MONOMER // GCQD-466-MONOMER // GCQD-3103-MONOMER
GLUCARDEHYDRA-RXN	GCQD-2853-MONOMER
2.6.1.57-RXN	GCQD-4187-MONOMER
RXN-7967	""
RXN0-7249	GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
RXN-11834	GCQD-1333-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
GLUTATHIONE-REDUCT-NADPH-RXN	GCQD-3583-MONOMER
2TRANSKETO-RXN	GCQD-2570-MONOMER // GCQD-2989-MONOMER
RXN-8632	GCQD-4080-MONOMER
RXN0-7325	GCQD-2545-MONOMER
RXN-12002	GCQD-347-MONOMER
GLYCOGEN-BRANCH-RXN	GCQD-3518-MONOMER
RXN-9087	GCQD-3340-MONOMER
RXN0-962	GCQD-3459-MONOMER
RXN-12275	CPLXCQD-9301
GMP-SYN-GLUT-RXN	GCQD-2613-MONOMER
3.2.1.17-RXN	GCQD-693-MONOMER // GCQD-1537-MONOMER // GCQD-1534-MONOMER
SELENOCYSTEINE-LYASE-RXN	GCQD-1849-MONOMER
RXN-12753	""
GUANYL-KIN-RXN	GCQD-3739-MONOMER
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	GCQD-1680-MONOMER // GCQD-1477-MONOMER
RXN-13141	GCQD-4299-MONOMER
HISTTRANSAM-RXN	HISTTRANSAM-MONOMER
RXN0-2441	GCQD-1674-MONOMER
THI-P-SYN-RXN	GCQD-4127-MONOMER
RXN-13872	""
INOSINATE-NUCLEOSIDASE-RXN	GCQD-2861-MONOMER
4.2.1.99-RXN	GCQD-295-MONOMER
RXN0-280	GCQD-1138-MONOMER
RXN-14116	GCQD-1217-MONOMER
KETOACYLCOATHIOL-RXN	GCQD-2474-MONOMER // GCQD-3980-MONOMER
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	GCQD-3799-MONOMER // GCQD-1903-MONOMER // GCQD-2788-MONOMER // GCQD-3839-MONOMER
RXN-14283	GCQD-537-MONOMER
LTARTDEHYDRA-RXN	CPLXCQD-7542
ACETYL-COA-ACETYLTRANSFER-RXN	GCQD-2359-MONOMER
RXN0-383	GCQD-2847-MONOMER
UDPKIN-RXN	GCQD-2624-MONOMER
RXN-14477	GCQD-736-MONOMER
MANNKIN-RXN	GCQD-529-MONOMER
ADDALT-RXN	GCQD-1790-MONOMER
RXN0-4301	GCQD-402-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
UROPORIIIMETHYLTRANSA-RXN	GCQD-3454-MONOMER
RXN-14522	GCQD-4188-MONOMER
MHPCHYDROL-RXN	GCQD-489-MONOMER
AICARTRANSFORM-RXN	GCQD-4140-MONOMER
RXN-14809	GCQD-1132-MONOMER // GCQD-423-MONOMER
NANK-RXN	GCQD-3310-MONOMER
ALPHAGALACTOSID-RXN	GCQD-4251-MONOMER
RXN0-5121	GCQD-3721-MONOMER
RXN-15121	""
OHACYL-COA-DEHYDROG-RXN	GCQD-3981-MONOMER // GCQD-2473-MONOMER
ARGININE-N-SUCCINYLTRANSFERASE-RXN	GCQD-1916-MONOMER
RXN0-5187	GCQD-516-MONOMER // GCQD-1009-MONOMER // GCQD-3932-MONOMER
RXN-15297	GCQD-4017-MONOMER
PANTEPADENYLYLTRAN-RXN	GCQD-3725-MONOMER
ATPASE-RXN	GCQD-1378-MONOMER // GCQD-3864-MONOMER // GCQD-2321-MONOMER
RXN0-5225	GCQD-287-MONOMER // GCQD-1070-MONOMER
RXN-15943	GCQD-1672-MONOMER
PHEAMINOTRANS-RXN	""
CARDIOLIPSYN-RXN	GCQD-954-MONOMER // GCQD-1424-MONOMER
RXN0-5306	GCQD-4036-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-16788	GCQD-792-MONOMER
PNP-RXN	GCQD-4525-MONOMER
CPM-KDOSYNTH-RXN	GCQD-3042-MONOMER // GCQD-1121-MONOMER
RXN0-5507	GCQD-2832-MONOMER
DAHPSYN-RXN	GCQD-905-MONOMER // GCQD-1873-MONOMER // GCQD-2707-MONOMER
RXN-17791	GCQD-3980-MONOMER // GCQD-2474-MONOMER
RXN0-6427	GCQD-3741-MONOMER
