"Reaction"	"Enzymes of a reaction"
MALONYL-ACPDECARBOX-RXN	GCQD-2456-MONOMER
RXN0-6952	GCQD-3944-MONOMER
RXN-10779	""
RXN-10654	GCQD-2456-MONOMER
FGAMSYN-RXN	GCQD-2663-MONOMER
1.1.1.264-RXN	GCQD-4396-MONOMER
RXN-11481	GCQD-356-MONOMER
RXN-20916	GCQD-777-MONOMER
RXN-17363	GCQD-809-MONOMER
RXN0-7022	GCQD-4364-MONOMER
GALACTITOLPDEHYD-RXN	""
RXN-11302	""
2-DEHYDROPANTOATE-REDUCT-RXN	GCQD-3892-MONOMER // GCQD-559-MONOMER
RXN-5822	GCQD-516-MONOMER
RXN-9527	GCQD-1292-MONOMER // GCQD-2456-MONOMER
RXN0-7090	GCQD-1326-MONOMER
GKI-RXN	GCQD-3215-MONOMER
RXN-9556	GCQD-1290-MONOMER // GCQD-4341-MONOMER
2.4.1.230-RXN	GCQD-1493-MONOMER
RXN-7682	CPLXCQD-7033
RXN-9657	GCQD-1465-MONOMER
RXN-11791	GCQD-2161-MONOMER
GLUTAMIDOTRANS-RXN	CPLXCQD-8824
2.7.9.3-RXN	GCQD-1933-MONOMER
RXN-8460	GCQD-3136-MONOMER
RXN0-7309	GCQD-1332-MONOMER // GCQD-3131-MONOMER
GLYCDEH-RXN	GCQD-4080-MONOMER
3.1.11.2-RXN	GCQD-1918-MONOMER
RXN-8974	GCQD-1211-MONOMER // GCQD-1696-MONOMER
RXN0-743	GCQD-659-MONOMER
RXN-12165	""
GLYOXIII-RXN	GCQD-2085-MONOMER // GCQD-3246-MONOMER
RXN-9983	""
3.1.4.14-RXN	""
S-ADENMETSYN-RXN	GCQD-2996-MONOMER
RXN-12541	""
GTPPYPHOSKIN-RXN	GCQD-2850-MONOMER
RXN0-1661	GCQD-736-MONOMER
SUCCARGDIHYDRO-RXN	GCQD-1914-MONOMER
MYRPALMTRAN-RXN	GCQD-2026-MONOMER
HISTCYCLOHYD-RXN	GCQD-2136-MONOMER
RXN-10657	GCQD-1465-MONOMER
RXN0-2281	GCQD-639-MONOMER
TARTRATE-DEHYDROGENASE-RXN	GCQD-1970-MONOMER
RXN-15511	GCQD-906-MONOMER
RXN-13548	""
IMILACTDEHYDROG-RXN	IMILACTDEHYDROG-MONOMER
3SC23OSPON-RXN	""
RXN-7101	""
RXN0-268	GCQD-2975-MONOMER
THYKI-RXN	GCQD-1415-MONOMER
RXN-9532	GCQD-1290-MONOMER // GCQD-4341-MONOMER
RXN-14090	GCQD-516-MONOMER // GCQD-4350-MONOMER // GCQD-2816-MONOMER
KDO-8PSYNTH-RXN	GCQD-1390-MONOMER
RXN0-305	GCQD-644-MONOMER
5.3.3.14-RXN	GCQD-1157-MONOMER
TRIOSEPISOMERIZATION-RXN	GCQD-4053-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN0-1147	GCQD-877-MONOMER // CPLXCQD-10725
RXN-14254	""
RXN-9660	GCQD-1465-MONOMER
ACETOINDEHYDROG-A-RXN	GCQD-2274-MONOMER
RXN0-3543	GCQD-584-MONOMER // GCQD-1332-MONOMER
UDP-NACMURALGLDAPAALIG-RXN	GCQD-265-MONOMER
RXN0-7192	GCQD-4107-MONOMER
RXN-14394	GCQD-3980-MONOMER // GCQD-2474-MONOMER
MALSYN-RXN	GCQD-3069-MONOMER // GCQD-4147-MONOMER
ACYL-COA-HYDROLASE-RXN	GCQD-1428-MONOMER // GCQD-590-MONOMER
RXN0-4181	GCQD-1647-MONOMER // GCQD-3607-MONOMER // GCQD-457-MONOMER // GCQD-1462-MONOMER // GCQD-2609-MONOMER
URIDINE-NUCLEOSIDASE-RXN	GCQD-2298-MONOMER // GCQD-212-MONOMER // GCQD-802-MONOMER
RXN-14511	GCQD-516-MONOMER
ADENYLYLSULFKIN-RXN	GCQD-2822-MONOMER
RXN0-5001	GCQD-3748-MONOMER
RXN-14747	GCQD-1132-MONOMER // GCQD-423-MONOMER
UDPREDUCT-RXN	CPLXCQD-9973 // CPLXCQD-11380
NADPH-DEHYDROGENASE-FLAVIN-RXN	GCQD-2831-MONOMER // GCQD-3979-MONOMER
ALDOSE1EPIM-RXN	GCQD-907-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
2.3.1.180-RXN	GCQD-1288-MONOMER
RXN0-5108	GCQD-2572-MONOMER
RXN-14968	GCQD-1132-MONOMER // GCQD-423-MONOMER
4.2.1.58-RXN	GCQD-356-MONOMER // GCQD-1157-MONOMER
NUCLEOTIDE-PYROPHOSPHATASE-RXN	GCQD-2847-MONOMER
AMYLOMALT-RXN	GCQD-3502-MONOMER
RXN0-5181	GCQD-3658-MONOMER
GCVP-RXN	GCQD-2959-MONOMER // CPLXCQD-10236
RXN-15210	GCQD-980-MONOMER
OXAMATE-CARBAMOYLTRANSFERASE-RXN	""
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	GCQD-3519-MONOMER
RXN0-5216	GCQD-882-MONOMER
RXN-15744	GCQD-630-MONOMER // GCQD-3109-MONOMER // GCQD-4398-MONOMER // GCQD-466-MONOMER
RXN-10660	GCQD-356-MONOMER
PGLUCISOM-RXN	GCQD-4158-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-11942	""
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	GCQD-3888-MONOMER
RXN0-5295	GCQD-2788-MONOMER // GCQD-2957-MONOMER // GCQD-3839-MONOMER
RXN-16457	GCQD-3992-MONOMER
PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN	GCQD-516-MONOMER
COBALADENOSYLTRANS-RXN	GCQD-1446-MONOMER
RXN-17724	GCQD-516-MONOMER // GCQD-3949-MONOMER // GCQD-3814-MONOMER // GCQD-987-MONOMER // GCQD-2426-MONOMER
RXN-8629	CPLXCQD-10236 // GCQD-293-MONOMER
PRIBFAICARPISOM-RXN	GCQD-2134-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
CYTIKIN-RXN	GCQD-2180-MONOMER
RXN-17786	GCQD-2473-MONOMER // GCQD-3981-MONOMER
RXN-9536	GCQD-1290-MONOMER // GCQD-4341-MONOMER
RXN0-6367	GCQD-1773-MONOMER
PROTOPORGENOXI-RXN	GCQD-3985-MONOMER
RXN-9633	GCQD-1290-MONOMER // GCQD-4341-MONOMER
DEOXYADENPHOSPHOR-RXN	GCQD-4525-MONOMER
PYRROLINECARBREDUCT-RXN	GCQD-519-MONOMER
RXN-9663	GCQD-1465-MONOMER
DIAMINOPIMDECARB-RXN	GCQD-2909-MONOMER
RXN0-6550	GCQD-336-MONOMER
RXN-9730	""
R524-RXN	GCQD-480-MONOMER
DMBPPRIBOSYLTRANS-RXN	GCQD-2108-MONOMER
RXN0-2142	GCQD-1290-MONOMER
RXN0-6722	GCQD-1567-MONOMER
RIBOSYLPYRIMIDINE-NUCLEOSIDASE-RXN	GCQD-2298-MONOMER
DXS-RXN	GCQD-554-MONOMER
RXN0-724	GCQD-4369-MONOMER
RXN0-6994	GCQD-2957-MONOMER
RXN-10856	GCQD-3153-MONOMER
3.1.22.4-RXN	CPLXCQD-7284
FOLYLPOLYGLUTAMATESYNTH-RXN	GCQD-2448-MONOMER
1.1.1.283-RXN	""
RXN-20927	GCQD-411-MONOMER
RXN0-703	GCQD-3662-MONOMER
RXN-11574	GCQD-1151-MONOMER
GALACTONDEHYDRAT-RXN	GCQD-3809-MONOMER
RXN-11638	GCQD-261-MONOMER
2-METHYLCITRATE-SYNTHASE-RXN	GCQD-473-MONOMER
RXN0-7007	GCQD-2623-MONOMER
RXN-6268	""
RXN-11588	GCQD-4312-MONOMER
RXN0-7114	GCQD-372-MONOMER
GLUC1PADENYLTRANS-RXN	GCQD-3516-MONOMER
RXN-11592	GCQD-790-MONOMER
2.5.1.64-RXN	GCQD-2399-MONOMER
RXN-7913	GCQD-1113-MONOMER
RXN-11598	GCQD-3000-MONOMER
RXN-11832	GCQD-1113-MONOMER
GLUTAMINESYN-RXN	GCQD-4004-MONOMER
RXN-11602	GCQD-1170-MONOMER
