Gene Name	Accession-1	Accession-2
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11350	b3629	ECK3619
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6642	b1295	ECK1290
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7239	b2376	ECK2372
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6512	b0991	ECK0981
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11787	b2053	ECK2047
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6253	b0458	ECK0452
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10821	b2217	ECK2210
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6107	b0223	ECK0224
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10162	b2048	ECK2042
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17039	b4793	ECK4650
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11788	b2052	ECK2046
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17023	b4777	ECK4634
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10520	b3633	ECK3623
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16747	b4753	ECK4610
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7091	b2028	ECK2023
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16730	b4735	ECK4592
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10229	b2321	ECK2315
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10650	b4683	ECK4498
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11976	b1949	ECK1947
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10588	b4592	ECK4402
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6400	b0770	ECK0759
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG13217	b0445	ECK0439
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10397	b3424	ECK3410
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12333	b0157	ECK0156
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6242	b0441	ECK0435
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12138	b0193	ECK0193
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10298	b0589	ECK0582
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11875	b3921	ECK3913
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG20053	b3691	ECK3683
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7937	b4341	ECK4332
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10163	b3911	ECK3904
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11664	b3348	ECK3335
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12544	b4279	ECK4269
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7753	b3434	ECK3420
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12369	b1769	ECK1767
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11209	b4030	ECK4022
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12129	b2497	ECK2493
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7621	b3107	ECK3098
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12057	b2199	ECK2191
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10216	b2317	ECK2311
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11737	b0198	ECK0198
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7512	b2899	ECK2894
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11665	b3057	ECK3047
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7442	b2776	ECK2770
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11608	b1249	ECK1243
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7268	b2433	ECK2428
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7589	b3051	ECK3040
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7132	b2100	ECK2093
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7330	b2536	ECK2533
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6990	b1806	ECK1804
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6987	b1801	ECK1799
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6901	b1673	ECK1669
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6863	b1607	ECK1602
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6765	b1454	ECK1448
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10654	b3367	ECK3355
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6631	b1228	ECK1222
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6476	b0934	ECK0925
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6495	b0960	ECK0951
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10516	b0695	ECK0683
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6228	b0379	ECK0374
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10289	b4288	ECK4278
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6095	b0187	ECK0186
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG13270	b0875	ECK0866
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17036	b4790	ECK4647
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10198	b2423	ECK2418
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17020	b4774	ECK4631
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12713	b1473	ECK1467
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16743	b4749	ECK4606
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12520	b4230	ECK4225
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16727	b4732	ECK4589
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12321	b0128	ECK0127
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10642	b4670	ECK4485
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12125	b2308	ECK2302
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10559	b4534	ECK1574
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12052	b2194	ECK2186
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12707	b2749	ECK2744
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11942	b4067	ECK4060
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12295	b3611	ECK3601
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11840	b3874	ECK3867
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12049	b2188	ECK2182
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11706	b3679	ECK3670
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11820	b1056	ECK1041
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11637	b1529	ECK1522
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7922	b4325	ECK4316
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11367	b2786	ECK2780
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11525	b3484	ECK3469
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11233	b1609	ECK1604
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7730	b3378	ECK3365
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7309	b2492	ECK2488
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7588	b3050	ECK3039
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7130	b2098	ECK2091
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7491	b2872	ECK2868
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6962	b1775	ECK1773
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7433	b2767	ECK2762
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10730	b4399	ECK4391
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7240	b2377	ECK2373
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6857	b1599	ECK1594
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7110	b2071	ECK2065
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6643	b1296	ECK1291
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6963	b1776	ECK1774
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6462	b0879	ECK0870
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6896	b1668	ECK1664
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10513	b0698	ECK0686
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6743	b1432	ECK1426
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6345	b0619	ECK0612
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6614	b1177	ECK1165
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6093	b0177	ECK0176
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6450	b0865	ECK0856
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10271	b3006	ECK2999
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6189	b0324	ECK0322
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12908	b3370	ECK3358
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-9981	b4613	ECK4422
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12469	b4130	ECK4124
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17033	b4787	ECK4644
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12281	b3577	ECK3566
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17017	b4771	ECK4627
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12169	b2198	ECK2190
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16740	b4746	ECK4603
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11914	b3955	ECK3946
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16724	b4729	ECK4586
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11821	b0451	ECK0445
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10608	b4622	ECK4430
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11566	b0045	ECK0046
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10512	b4522	ECK4433
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11457	b3793	ECK3786
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12689	b1050	ECK1036
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11343	b1053	ECK1038
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12271	b3552	ECK3539
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7507	b2888	ECK2883
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12028	b2160	ECK2153
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10952	b2617	ECK2613
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7886	b4256	ECK4249
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7113	b2074	ECK2070
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11520	b3483	ECK3467
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10781	b2585	ECK2583
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7695	b3267	ECK3254
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6916	b1690	ECK1688
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11152	b2605	ECK2602
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10706	b1912	ECK1911
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7552	b2986	ECK2980
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6802	b1515	ECK1508
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7479	b2859	ECK2857
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6575	b1118	ECK1104
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7385	b2650	ECK2647
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6440	b0842	ECK0832
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7196	b2304	ECK2298
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10264	b0586	ECK0579
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G7062	b1974	ECK1970
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12836	b3270	ECK3257
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6959	b1772	ECK1770
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12625	b3543	ECK3530
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6856	b1598	ECK1593
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12439	b4231	ECK4226
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6730	b1411	ECK1404
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12266	b3539	ECK3526
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6605	b1165	ECK1152
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12153	b1469	ECK1463
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6441	b0843	ECK0833
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12017	b2136	ECK2129
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6182	b0317	ECK0315
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11798	b0106	ECK0105
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-8888	b4606	ECK4415
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11689	b3662	ECK3653
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17030	b4784	ECK4641
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11622	b0449	ECK0443
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-17014	b4768	ECK4625
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11541	b3747	ECK3741
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16737	b4742	ECK4599
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11419	b2182	ECK2176
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-16721	b4726	ECK4583
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11327	b0336	ECK0333
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10603	b4612	ECK4421
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG11194	b3654	ECK3644
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G0-10464	b4548	ECK2641
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10938	b0408	ECK0402
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12557	b4305	ECK4295
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG10766	b3300	ECK3287
HTTPS://biocyc.org/gene?orgid=ECOLI&id=EG12254	b3527	ECK3512
HTTPS://biocyc.org/gene?orgid=ECOLI&id=G6877	b1634	ECK1630
