NAME,ASSOCIATION,EXPERIMENT,line,repl,LOCATION,POSITION,SHAPE,SHAPE.area,SHAPE.length,SHAPE.perimeter,SHAPE.width.mean,ZSCORE,volume,mutator,age
b35,0,Lenski strains,Ara-1,1,(x=25.63 y=69.91),2,1,3.4540772,3.9011476,8.801199,0.9455394,8.903949,1.826208101635609,FALSE,young
b36,0,Lenski strains,Ara-1,1,(x=26.73 y=67.80),2,1,3.725382,4.0986667,9.202446,0.9707493,8.981518,2.0223457082413803,FALSE,young
b37,0,Lenski strains,Ara-1,1,(x=45.73 y=65.15),2,1,4.1226025,4.642027,10.277564,0.93779045,8.394852,2.1375579430951563,FALSE,young
b38,0,Lenski strains,Ara-1,1,(x=75.47 y=89.43),2,1,4.0916905,4.21155,9.5228370000000009,1.0388519,8.823335,2.37984055010199,FALSE,young
b39,0,Lenski strains,Ara-1,1,(x=84.18 y=32.09),2,1,4.025235,4.201296,9.511783,1.0204182,8.737187,2.2905421866674667,FALSE,young
b40,0,Lenski strains,Ara-1,1,(x=93.14 y=77.00),2,1,3.3864875,3.845813,8.666924,0.9433515,8.844108,1.7919829538826766,FALSE,young
b41,0,Lenski strains,Ara-1,1,(x=112.41 y=9.50),2,1,2.6786847,3.305479,7.534661,0.8690545,8.334899,1.307154884581038,FALSE,young
b42,0,Lenski strains,Ara-1,1,(x=112.98 y=102.87),2,1,2.6238093,3.0943503,7.163313,0.91886866,8.66565,1.367964974436897,FALSE,young
b43,0,Lenski strains,Ara-1,1,(x=123.45 y=68.15),2,1,3.8436406,4.4566917,9.874182,0.912844,8.382345,1.944483870360735,FALSE,young
b45,0,Lenski strains,Ara-1,1,(x=13.81 y=96.24),2,1,2.6396434,3.0743654,7.102508,0.9385727,8.404996,1.4180447678930708,FALSE,young
b46,0,Lenski strains,Ara-1,1,(x=15.42 y=99.01),2,1,3.3107207,3.3670273,7.8222885,1.0815266,8.423059,2.062147237080108,FALSE,young
b47,0,Lenski strains,Ara-1,1,(x=16.59 y=60.00),2,1,2.339034,2.637372,6.3767395,0.96619344,8.662953,1.2891343552748824,FALSE,young
b48,0,Lenski strains,Ara-1,1,(x=19.25 y=60.74),2,1,2.2400124,2.8530414,6.6323466,0.84809726,8.223608,1.0744792085685873,FALSE,young
b49,0,Lenski strains,Ara-1,1,(x=17.29 y=53.93),2,1,2.6524997,3.0658445,7.0723796,0.95203495,8.307363,1.4549716456065707,FALSE,young
b50,0,Lenski strains,Ara-1,1,(x=19.55 y=55.78),2,1,2.5354226,2.6655495,6.487126,1.051314,8.495443,1.5425891409827401,FALSE,young
b51,0,Lenski strains,Ara-1,1,(x=39.88 y=45.42),2,1,2.294179,2.653025,6.3227887,0.95018685,8.414581,1.2541745862354383,FALSE,young
b52,0,Lenski strains,Ara-1,1,(x=41.60 y=47.58),2,1,2.5416617,2.7413664,6.4832773,1.0429343,8.511657,1.561275732296713,FALSE,young
b53,0,Lenski strains,Ara-1,1,(x=44.04 y=54.02),2,1,2.4706688,2.5654283,6.3644605,1.0572546,8.735394,1.501473495701454,FALSE,young
b54,0,Lenski strains,Ara-1,1,(x=46.49 y=55.15),2,1,2.4722757,2.8017952,6.6536226,0.9728185,8.423551,1.3883489978506875,FALSE,young
b55,0,Lenski strains,Ara-1,1,(x=56.70 y=116.73),2,1,2.5164218,2.8358934,6.683845,0.9773084,8.706812,1.4182467182829064,FALSE,young
b56,0,Lenski strains,Ara-1,1,(x=58.78 y=114.91),2,1,2.1382968,2.5685835,6.0540485,0.9392772,8.532838,1.1865331370683883,FALSE,young
b57,0,Lenski strains,Ara-1,1,(x=90.74 y=38.21),2,1,2.7412171,3.0830777,7.22032,0.96112996,8.073579,1.4912392383650872,FALSE,young
b58,0,Lenski strains,Ara-1,1,(x=92.73 y=40.34),2,1,2.6665375,2.704046,6.6139374,1.0905479,8.015754,1.6838453008410255,FALSE,young
b59,0,Lenski strains,Ara-1,1,(x=25.06 y=84.24),3,1,4.0199413,4.647537,10.196582,0.9184862,7.731214,2.0528950585845336,FALSE,young
b60,0,Lenski strains,Ara-1,1,(x=36.22 y=120.29),3,1,3.8710546,3.8527699,8.826861,1.0881517,8.151263,2.388639360280863,FALSE,young
b61,0,Lenski strains,Ara-1,1,(x=41.16 y=13.64),3,1,2.4553783,2.6758006,6.409704,1.0251077,7.381903,1.4722832136732664,FALSE,young
b62,0,Lenski strains,Ara-1,1,(x=55.48 y=79.01),3,1,3.515428,3.7265391,8.515232,1.0185285,8.100085,2.0241872087011226,FALSE,young
b63,0,Lenski strains,Ara-1,1,(x=70.09 y=35.58),3,1,3.257736,3.6827285,8.355643,0.9507913,7.953237,1.743165907151579,FALSE,young
b64,0,Lenski strains,Ara-1,1,(x=71.66 y=26.53),3,1,4.27839,4.868429,10.876721999999999,0.92199576,7.849201,2.166932138382547,FALSE,young
